Player,Span_Bat,Mat,Inns_Bat,NO,Runs_Bat,HS,Ave,100,50,Duck,Inns_Bowl,Balls,Runs_Bowl,Wkts,Average,Economy,SR,Fifer,10-Fer,Country_Bowl
JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,45,58,16,272,20232,9535,292,32.65,2.82,69.2,5,0,ICC/SA
N Kapil Dev (INDIA),1978-1994,131,184,15,5248,163,31.05,8,27,16,227,27740,12867,434,29.64,2.78,63.9,23,2,INDIA
IT Botham (ENG),1977-1992,102,161,6,5200,208,33.54,14,22,14,168,21815,10878,383,28.4,2.99,56.9,27,4,ENG
DL Vettori (ICC/NZ),1997-2014,113,174,23,4531,140,30,6,23,20,187,28814,12441,362,34.36,2.59,79.5,20,3,ICC/NZ
Imran Khan (PAK),1971-1992,88,126,25,3807,136,37.69,6,18,8,142,19458,8258,362,22.81,2.54,53.7,23,6,PAK
SM Pollock (SA),1995-2008,108,156,39,3781,111,32.31,2,16,9,202,24353,9733,421,23.11,2.39,57.8,16,1,SA
SCJ Broad (ENG),2007-2019,135,199,29,3158,169,18.57,1,12,35,248,27547,13655,476,28.68,2.97,57.8,17,2,ENG
SK Warne (AUS),1992-2007,145,199,17,3154,99,17.32,0,12,34,273,40705,17995,708,25.41,2.65,57.4,37,10,AUS
Sir RJ Hadlee (NZ),1973-1990,86,134,19,3124,151,27.16,2,15,12,150,21918,9611,431,22.29,2.63,50.8,36,9,NZ
WPUJC Vaas (SL),1994-2009,111,162,35,3089,100*,24.32,1,13,12,194,23438,10501,355,29.58,2.68,66,12,2,SL
Wasim Akram (PAK),1985-2002,104,147,19,2898,257*,22.64,3,7,17,181,22627,9779,414,23.62,2.59,54.6,25,5,PAK
A Kumble (INDIA),1990-2008,132,173,32,2506,110*,17.77,1,5,17,236,40850,18355,619,29.65,2.69,65.9,35,8,INDIA
R Ashwin (INDIA),2011-2019,70,96,13,2385,124,28.73,4,11,3,131,19412,9183,362,25.36,2.83,53.6,27,7,INDIA
Harbhajan Singh (INDIA),1998-2015,103,145,23,2224,115,18.22,2,9,19,190,28580,13537,417,32.46,2.84,68.5,25,5,INDIA
R Benaud (AUS),1952-1964,63,97,7,2201,122,24.45,3,9,8,116,19108,6704,248,27.03,2.1,77,16,1,AUS
MG Johnson (AUS),2007-2015,73,109,16,2065,123*,22.2,1,11,19,140,16001,8891,313,28.4,3.33,51.1,12,3,AUS
MD Marshall (WI),1978-1991,81,107,11,1810,92,18.85,0,10,15,151,17584,7876,376,20.94,2.68,46.7,22,4,WI
HMRKB Herath (SL),1999-2018,93,144,28,1699,80*,14.64,0,3,23,170,25993,12157,433,28.07,2.8,60,34,9,SL
TG Southee (NZ),2008-2019,71,104,10,1662,77*,17.68,0,5,9,132,16002,8053,270,29.82,3.01,59.2,9,1,NZ
B Lee (AUS),1999-2008,76,90,18,1451,64,20.15,0,5,14,150,16531,9554,310,30.81,3.46,53.3,10,0,AUS
CEL Ambrose (WI),1988-2000,98,145,29,1439,53,12.4,0,1,26,179,22103,8501,405,20.99,2.3,54.5,22,3,WI
GP Swann (ENG),2008-2013,60,76,14,1370,85,22.09,0,5,5,109,15349,7642,255,29.96,2.98,60.1,17,3,ENG
M Muralitharan (ICC/SL),1992-2010,133,164,56,1261,67,11.67,0,1,33,230,44039,18180,800,22.72,2.47,55,67,22,ICC/SL
DW Steyn (SA),2004-2019,93,119,27,1251,76,13.59,0,2,14,171,18608,10077,439,22.95,3.24,42.3,26,5,SA
Z Khan (INDIA),2000-2014,92,127,24,1231,75,11.95,0,3,29,165,18785,10247,311,32.94,3.27,60.4,11,1,INDIA
JN Gillespie (AUS),1996-2006,71,93,28,1218,201*,18.73,1,2,13,137,14234,6770,259,26.13,2.85,54.9,8,0,AUS
JM Anderson (ENG),2003-2019,150,211,89,1181,81,9.68,0,1,26,280,32557,15607,577,27.04,2.87,56.4,27,3,ENG
NM Lyon (AUS),2011-2019,95,122,38,1025,47,12.2,0,0,15,182,24283,12202,380,32.11,3.01,63.9,16,2,AUS
Waqar Younis (PAK),1989-2003,87,120,21,1010,45,10.2,0,0,21,154,16224,8788,373,23.56,3.25,43.4,22,5,PAK
FS Trueman (ENG),1952-1965,67,85,14,981,39*,13.81,0,0,11,127,15178,6625,307,21.57,2.61,49.4,17,3,ENG
GD McKenzie (AUS),1961-1971,60,89,12,945,76,12.27,0,2,15,113,17681,7328,246,29.78,2.48,71.8,16,3,AUS
M Morkel (SA),2006-2018,86,104,23,944,40,11.65,0,0,22,160,16498,8550,309,27.66,3.1,53.3,8,0,SA
CJ McDermott (AUS),1984-1996,71,90,13,940,42*,12.2,0,0,13,124,16586,8332,291,28.63,3.01,56.9,14,2,AUS
DL Underwood (ENG),1966-1982,86,116,35,937,45*,11.56,0,0,19,151,21862,7674,297,25.83,2.1,73.6,17,6,ENG
CA Walsh (WI),1984-2001,132,185,61,936,30*,7.54,0,0,43,242,30019,12688,519,24.44,2.53,57.8,22,3,WI
MA Holding (WI),1975-1987,60,76,10,910,73,13.78,0,6,15,113,12680,5898,249,23.68,2.79,50.9,13,2,WI
DK Lillee (AUS),1971-1984,70,90,24,905,73*,13.71,0,1,10,132,18467,8493,355,23.92,2.75,52,23,7,AUS
RGD Willis (ENG),1971-1984,90,128,55,840,28*,11.5,0,0,12,165,17357,8190,325,25.2,2.83,53.4,16,0,ENG
I Sharma (INDIA),2007-2019,96,127,43,703,57,8.36,0,1,31,173,18010,9544,292,32.68,3.17,61.6,10,1,INDIA
M Ntini (SA),1998-2009,101,116,45,699,32*,9.84,0,0,21,190,20834,11242,390,28.82,3.23,53.4,18,4,SA
JB Statham (ENG),1951-1965,70,87,28,675,38,11.44,0,0,13,129,16056,6261,252,24.84,2.33,63.7,9,1,ENG
J Garner (WI),1977-1987,58,68,14,672,60,12.44,0,1,17,111,13169,5433,259,20.97,2.47,50.8,7,0,WI
BS Bedi (INDIA),1966-1979,67,101,28,656,50*,8.98,0,1,20,118,21364,7637,266,28.71,2.14,80.3,14,1,INDIA
AA Donald (SA),1992-2002,72,94,33,652,37,10.68,0,0,17,129,15519,7344,330,22.25,2.83,47,20,3,SA
GD McGrath (AUS),1993-2007,124,138,51,641,61,7.36,0,1,35,243,29248,12186,563,21.64,2.49,51.9,29,3,AUS
TA Boult (NZ),2011-2019,65,80,38,615,52*,14.64,0,1,13,123,14448,7171,256,28.01,2.97,56.4,8,1,NZ
LR Gibbs (WI),1958-1976,79,109,39,488,25,6.97,0,0,15,148,27115,8989,309,29.09,1.98,87.7,18,2,WI
MJ Hoggard (ENG),2000-2008,67,92,27,473,38,7.27,0,0,19,122,13909,7564,248,30.5,3.26,56,7,1,ENG
Danish Kaneria (PAK),2000-2010,61,84,33,360,29,7.05,0,0,25,112,17697,9082,261,34.79,3.07,67.8,15,2,PAK
BS Chandrasekhar (INDIA),1964-1979,58,80,39,167,22,4.07,0,0,23,97,15963,7199,242,29.74,2.7,65.9,16,2,INDIA
